Time	Sample	OD	SD
0	PCL-flu	100	0
1	PCL-flu	70.31911309	9.774235397
2	PCL-flu	59.66365052	8.93400177
3	PCL-flu	55.50227418	8.531440709
4	PCL-flu	52.83365611	8.091182315
5	PCL-flu	52.24946086	8.571154391
6	PCL-flu	51.97115891	9.589731651
0	∆flu	100	0
1	∆flu	90.94342869	4.277840255
2	∆flu	86.41792372	5.155478547
3	∆flu	84.50677175	4.481583738
4	∆flu	80.8246417	5.009789986
5	∆flu	75.36021294	2.815692657
6	∆flu	74.91678613	4.449236158
0	I3	100	0
1	I3	92.43873672	4.393773623
2	I3	90.45633984	5.72129072
3	I3	87.3963227	3.97094829
4	I3	85.21968431	3.24234523
5	I3	81.32158264	5.332116655
6	I3	81.02465931	4.925377336
0	R3	100	0
1	R3	94.96371231	3.1559517
2	R3	90.54863282	7.534862091
3	R3	86.07731302	6.186731331
4	R3	85.17024237	4.873199093
5	R3	79.24355065	3.469059916
6	R3	80.59875713	4.643672017
