OD	Sample	Group
0.283754986	MG1655	PS plate
0.325874997	MG1655	PS plate
0.348674998	MG1655	PS plate
0.246912506	MG1655	PS plate
0.288224995	MG1655	PVC plate
0.270574998	MG1655	PVC plate
0.292024992	MG1655	PVC plate
0.176699996	MG1655	PVC plate
0.124750001	I3	PS plate
0.127875	I3	PS plate
0.117974998	I3	PS plate
0.122975001	I3	PS plate
0.12685	I3	PVC plate
0.127375001	I3	PVC plate
0.142949998	I3	PVC plate
0.121174997	I3	PVC plate
0.139424998	R3	PS plate
0.144450001	R3	PS plate
0.136875002	R3	PS plate
0.117099999	R3	PS plate
0.131225001	R3	PVC plate
0.149025001	R3	PVC plate
0.149524998	R3	PVC plate
0.128724998	R3	PVC plate
1.212650001	TG1	PS plate
1.271749973	TG1	PS plate
1.186949998	TG1	PS plate
0.78975001	TG1	PS plate
0.998349994	TG1	PVC plate
0.852750018	TG1	PVC plate
0.702899992	TG1	PVC plate
0.600425005	TG1	PVC plate
