Mean	SD	Sample	Group
3566666.667	1068097.998	MG1655	Inox
883333.3333	472581.5626	I3	Inox
1600000	781024.9676	R3	Inox
13666666.67	6027713.773	TG1	Inox
11833333.33	2081665.999	MG1655	PE
4500000	5672521.485	I3	PE
2933333.333	4389001.405	R3	PE
63500000	58410187.47	TG1	PE
17611111.11	787635.9377	MG1655	Silicone
18611111.11	419435.2464	I3	Silicone
12500000	2522124.325	R3	Silicone
105000000	10929064.21	TG1	Silicone
2735000	2848846.258	MG1655	Titanium
305000	213365.8829	I3	Titanium
516666.6667	189296.9449	R3	Titanium
15166666.67	12209968.6	TG1	Titanium
