cfu	Sample	Group
143666.6667	TG1	Ctrl
374100	TG1	Ctrl
192666.6667	TG1	Ctrl
147666.6667	MG1655	Ctrl
1555000	MG1655	Ctrl
1960000	MG1655	Ctrl
1022666.667	I3	Case 3
1706666.667	I3	Case 3
2710000	I3	Case 3
2536666.667	R3	Case 3
1930000	R3	Case 3
2026666.667	R3	Case 3
1930000	I1	Case 1
1553333.333	I1	Case 1
4343333.333	I1	Case 1
1551666.667	R1	Case 1
907333.3333	R1	Case 1
981333.3333	R1	Case 1
832333.3333	I2	Case 2
784000	I2	Case 2
3136000	I2	Case 2
530333.3333	R2	Case 2
756666.6667	R2	Case 2
4475333.333	R2	Case 2
