Time	Sample	OD	SD
0	PCL-flu	100	0
1	PCL-flu	70.31911309	9.774235397
2	PCL-flu	59.66365052	8.93400177
3	PCL-flu	55.50227418	8.531440709
4	PCL-flu	52.83365611	8.091182315
5	PCL-flu	52.24946086	8.571154391
6	PCL-flu	51.97115891	9.589731651
0	∆flu	100	0
1	∆flu	90.94342869	4.277840255
2	∆flu	86.41792372	5.155478547
3	∆flu	84.50677175	4.481583738
4	∆flu	80.8246417	5.009789986
5	∆flu	75.36021294	2.815692657
6	∆flu	74.91678613	4.449236158
0	I2	100	0
1	I2	96.78142038	5.687267875
2	I2	92.57041427	3.060484714
3	I2	89.30931085	4.773143957
4	I2	88.51061659	5.901178704
5	I2	82.63210948	6.125008747
6	I2	79.97663594	6.111169189
0	R2	100	0
1	R2	94.69204468	3.179989964
2	R2	90.71072625	5.668584468
3	R2	86.39660634	4.418571408
4	R2	85.58817665	4.383692493
5	R2	77.22423175	2.850315678
6	R2	79.66490375	5.743777384
