CFU	Strain	Time
2250	CFT073	0 hpi
2760	CFT073	0 hpi
2490	CFT073	0 hpi
2040	CFT073	0 hpi
1470	CFT073	0 hpi
870	MG1655	0 hpi
30	MG1655	0 hpi
690	MG1655	0 hpi
120	MG1655	0 hpi
123	MG1655	0 hpi
1020	I2	0 hpi
750	I2	0 hpi
1590	I2	0 hpi
357	I2	0 hpi
87	I2	0 hpi
1740	R2	0 hpi
360	R2	0 hpi
1950	R2	0 hpi
1950	R2	0 hpi
1200	R2	0 hpi
7800	CFT073	6 hpi
4800	CFT073	6 hpi
8700	CFT073	6 hpi
7800	CFT073	6 hpi
1590	CFT073	6 hpi
42	MG1655	6 hpi
2070	MG1655	6 hpi
912	MG1655	6 hpi
30	MG1655	6 hpi
174	MG1655	6 hpi
16200	I2	6 hpi
4800	I2	6 hpi
240	I2	6 hpi
22200	I2	6 hpi
3450	I2	6 hpi
19500	R2	6 hpi
4800	R2	6 hpi
6600	R2	6 hpi
5700	R2	6 hpi
3	R2	6 hpi
660000	CFT073	24 hpi
294000	CFT073	24 hpi
2520000	CFT073	24 hpi
540000	CFT073	24 hpi
2250000	CFT073	24 hpi
105	MG1655	24 hpi
45	MG1655	24 hpi
6	MG1655	24 hpi
45	MG1655	24 hpi
336	MG1655	24 hpi
2190000	I2	24 hpi
1440000	I2	24 hpi
2250000	I2	24 hpi
1410000	I2	24 hpi
1590000	I2	24 hpi
2700000	R2	24 hpi
6240000	R2	24 hpi
1860000	R2	24 hpi
1380000	R2	24 hpi
2820000	R2	24 hpi
