CFU	Strain	Time
2730	CFT073	0 hpi
3060	CFT073	0 hpi
3210	CFT073	0 hpi
2070	CFT073	0 hpi
1860	CFT073	0 hpi
2100	MG1655	0 hpi
2010	MG1655	0 hpi
2760	MG1655	0 hpi
2130	MG1655	0 hpi
1860	MG1655	0 hpi
2190	I3	0 hpi
3750	I3	0 hpi
3270	I3	0 hpi
2670	I3	0 hpi
3180	I3	0 hpi
2670	R3	0 hpi
1620	R3	0 hpi
2190	R3	0 hpi
2220	R3	0 hpi
2010	R3	0 hpi
53700	CFT073	6 hpi
41100	CFT073	6 hpi
25200	CFT073	6 hpi
40200	CFT073	6 hpi
31200	CFT073	6 hpi
231	MG1655	6 hpi
60	MG1655	6 hpi
264	MG1655	6 hpi
153	MG1655	6 hpi
33	MG1655	6 hpi
40200	I3	6 hpi
35700	I3	6 hpi
56700	I3	6 hpi
59100	I3	6 hpi
69300	I3	6 hpi
25200	R3	6 hpi
73800	R3	6 hpi
41100	R3	6 hpi
70200	R3	6 hpi
48300	R3	6 hpi
1800000	CFT073	24 hpi
2250000	CFT073	24 hpi
3330000	CFT073	24 hpi
1200000	CFT073	24 hpi
12	MG1655	24 hpi
27	MG1655	24 hpi
27	MG1655	24 hpi
12	MG1655	24 hpi
69	MG1655	24 hpi
1800000	I3	24 hpi
1080000	I3	24 hpi
1320000	I3	24 hpi
1830000	I3	24 hpi
2160000	I3	24 hpi
2850000	R3	24 hpi
1980000	R3	24 hpi
294000	R3	24 hpi
168000	R3	24 hpi
438000	R3	24 hpi
NA	MG1655	48 hpi
NA	CFT073	48 hpi
NA	I3	48 hpi
NA	R3	48 hpi
