strain	fit	cond
R1 vs I1	1.19	Planktonic
R1 vs I1	1.07	Planktonic
R1 vs I1	1.13	Planktonic
R1 vs I1	1.09	Planktonic
R1 vs I1	1.01	Planktonic
R1 vs I1	1.08	Planktonic
R3 vs I3	0.97	Planktonic
R3 vs I3	0.99	Planktonic
R3 vs I3	0.96	Planktonic
R3 vs I3	0.98	Planktonic
R3 vs I3	0.90	Planktonic
R3 vs I3	0.96	Planktonic
R2 vs I2	1.40	Planktonic
R2 vs I2	1.61	Planktonic
R2 vs I2	1.46	Planktonic
R2 vs I2	1.47	Planktonic
R2 vs I2	1.35	Planktonic
R2 vs I2	1.28	Planktonic
R1 vs I1	0.96	Biofilm
R1 vs I1	0.96	Biofilm
R1 vs I1	1.05	Biofilm
R1 vs I1	0.96	Biofilm
R1 vs I1	1.05	Biofilm
R1 vs I1	1.02	Biofilm
R3 vs I3	0.99	Biofilm
R3 vs I3	1.00	Biofilm
R3 vs I3	0.96	Biofilm
R3 vs I3	0.95	Biofilm
R3 vs I3	0.97	Biofilm
R3 vs I3	0.94	Biofilm
R2 vs I2	0.98	Biofilm
R2 vs I2	1.13	Biofilm
R2 vs I2	1.19	Biofilm
R2 vs I2	1.12	Biofilm
R2 vs I2	1.02	Biofilm
