Time	Strain	Point
1h30	R1	0.985698139
1h30	R1	0.983452481
1h30	R1	0.973605999
1h30	R1	1.043928044
1h30	R2	0.959896014
1h30	R2	1.004243841
1h30	R2	1.014739196
1h30	R2	0.976771538
1h30	R3	0.979622745
1h30	R3	1.024031069
1h30	R3	0.983416935
1h30	R3	0.997070181
6h	R1	1.068416527
6h	R1	0.985100044
6h	R1	1.057869355
6h	R1	1.129233148
6h	R2	1.015425296
6h	R2	1.044007539
6h	R2	0.983978633
6h	R2	0.991091885
6h	R3	0.973579933
6h	R3	1.03731344
6h	R3	0.949659824
6h	R3	1.035915493
24h	R1	1.046910933
24h	R1	1.14521145
24h	R1	1.107500387
24h	R1	1.078035311
24h	R2	0.893181454
24h	R2	0.827836256
24h	R2	0.887795258
24h	R2	0.905471358
24h	R3	0.728529239
24h	R3	0.927675088
24h	R3	0.741132617
24h	R3	1.075757141
