OD	Sample	Group
0.685074985	MG1655	PS plate
0.300874997	MG1655	PS plate
0.348674998	MG1655	PS plate
0.340500005	MG1655	PS plate
0.288224995	MG1655	PVC plate
0.270574998	MG1655	PVC plate
0.292024992	MG1655	PVC plate
0.176699996	MG1655	PVC plate
0.200124998	I2	PS plate
0.262600001	I2	PS plate
0.240449999	I2	PS plate
0.190049998	I2	PS plate
0.190349996	I2	PVC plate
0.182125002	I2	PVC plate
0.177000005	I2	PVC plate
0.123100001	I2	PVC plate
0.632124998	R2	PS plate
0.600450009	R2	PS plate
0.437700003	R2	PS plate
0.174825002	R2	PS plate
0.245300002	R2	PVC plate
0.167074997	R2	PVC plate
0.153474998	R2	PVC plate
0.125766665	R2	PVC plate
1.212650001	TG1	PS plate
1.271749973	TG1	PS plate
1.186949998	TG1	PS plate
0.744100004	TG1	PS plate
0.998349994	TG1	PVC plate
0.852750018	TG1	PVC plate
0.702899992	TG1	PVC plate
0.5572	TG1	PVC plate
