Strain	Value	Group
I1	25.75757576	Case 1
I1	24.19354839	Case 1
I1	17.64705882	Case 1
R1	16.43835616	Case 1
R1	14.92537313	Case 1
R1	9.85915493	Case 1
I2	24.13793103	Case 2
I2	42.62295082	Case 2
I2	8.064516129	Case 2
R2	71.64179104	Case 2
R2	73.97260274	Case 2
R2	59.3220339	Case 2
I3	23.63636364	Case 3
I3	28.16901408	Case 3
I3	28.26086957	Case 3
R3	27.45098039	Case 3
R3	17.5	Case 3
R3	22.22222222	Case 3
MG1655	0	Ctrl
MG1655	0	Ctrl
MG1655	0	Ctrl
CFT073	50.84745763	Ctrl
CFT073	61.76470588	Ctrl
CFT073	58.33333333	Ctrl
